WBS_ID,階層,工程,タスク,担当,成果物,開始予定,終了予定,ステータス
1,1,プロジェクト管理,立上げおよび運営管理準備,田内,プロジェクト管理一式,2026-03-12,2026-03-13,予定
1.1,2,プロジェクト管理,プロジェクト憲章作成,大黄,Project_Charter.md,2026-03-12,2026-03-12,完了
1.2,2,プロジェクト管理,WBS・スケジュール作成,田内,WBS.csv / Schedule.csv,2026-03-12,2026-03-12,完了
1.3,2,プロジェクト管理,ステークホルダー一覧作成,田内,Stakeholder_List.csv,2026-03-12,2026-03-12,完了
1.4,2,プロジェクト管理,キックオフ議事録作成,田内,Kickoff_Meeting_Minutes.md,2026-03-13,2026-03-13,予定
2,1,要件定義,業務要件・IF要件定義,shishi,要件定義一式,2026-03-13,2026-03-15,予定
3,1,アーキテクチャ,目標アーキテクチャ設計,AK,アーキテクチャ一式,2026-03-15,2026-03-17,予定
4,1,基本設計,基本設計成果物作成,AK,基本設計一式,2026-03-17,2026-03-20,予定
5,1,詳細設計,詳細設計成果物作成,wl,詳細設計一式,2026-03-20,2026-03-26,予定
6,1,開発,実装成果物作成,wl,開発成果物一式,2026-03-26,2026-04-03,予定
7,1,試験,試験計画・試験実施,tu,試験成果物一式,2026-04-03,2026-04-10,予定
8,1,受入,受入確認および引継ぎ,大黄,受入成果物一式,2026-04-10,2026-04-15,予定
9,1,テンプレート化,再利用用テンプレート整備,大黄,テンプレート一式,2026-04-15,2026-04-18,予定
